id,title,price,image,created_at
2eefd283-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.2 LOVELY DAY,199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662967711929.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662967715245.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662967719091.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662967720539.png']",2022-08-04 22:57:47.825544
59dfecdc-06c2-40a8-927a-4bc907cd01fa,Gilaa - Son Plumping Lip serum 01 Athena,298000,['https://cdn-images.kiotviet.vn/vbeautyls/a79fad38c1f24a71acac1a51d4247cc4.jpeg'],2022-11-02 14:39:05.815747
0b7649e9-1e36-4e46-81aa-dc8ce1f48017,Cocoon - Ben Tre Coconut Lip Balm - Son dưỡng dầu dừa Bến Tre 5g,32000,['https://cdn-images.kiotviet.vn/vbeautyls/71ac4bb1457a40abbc2c5afe9d366be3.jpeg'],2022-11-02 14:39:00.628062
d137f9e2-d869-45a4-a1d0-601fde88ddac,Horus - Son Soft Matte Lipcream No.4 LOLLIPOP,132000,['https://cdn-images.kiotviet.vn/vbeautyls/841d11d42784496597de4a7a0ecbd693.jpeg'],2022-11-02 14:39:20.496166
2ef2b8c0-140e-11ed-9227-039b05c81a00,Lemonade - Son kem lì lâu trôi Supertiger Lipcream 03 Fierce,275000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662981332543.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662981334795.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662981338376.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662981342183.png']",2022-08-04 22:57:47.825544
2eee72f1-140e-11ed-9227-039b05c81a00,Gilaa - Son màu tối ưu dưỡng chất giúp môi mềm mịn và căng mọng Plumping Lip Serum 02 Venus,298000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662970103148.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662970104649.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662970107658.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662970110799.png']",2022-08-04 22:57:47.825544
ea344520-9187-11ed-97d7-9174cdc73ee3,Test 04,4988000,['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1673424841665.png'],2023-01-11 15:14:05.432604
2ef32de8-140e-11ed-9227-039b05c81a00,Horus-Son Soft Matte Lipcream No.2 HOT WINE,132000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979416260.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979418391.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979422384.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979425156.png']",2022-08-04 22:57:47.825544
2eefab76-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.6 RAINY DAY,199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987534091.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987537800.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987541892.png']",2022-08-04 22:57:47.825544
d7a2da20-9187-11ed-97d7-9174cdc73ee3,Test 03,5300000,['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1673424810121.png'],2023-01-11 15:13:34.279358
